link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
115,12,1092,1,358.23,1,90,99999,connector,0,"LINESTRING (-111.93502429906005 33.38922761939677, -111.9350752 33.385998)",,1,0,0,0.15,4,1,0.22,55.0,55.0,0.24,,,,
116,1092,12,1,358.23,1,90,99999,connector,0,"LINESTRING (-111.9350752 33.385998, -111.93502429906005 33.38922761939677)",,1,0,0,0.15,4,1,0.22,55.0,55.0,0.24,,,,
117,25,1123,1,1066.23,1,90,99999,connector,0,"LINESTRING (-111.88681356806566 33.41709433318095, -111.8885089 33.4075867)",,1,0,0,0.15,4,1,0.66,55.0,55.0,0.71,,,,
118,1123,25,1,1066.23,1,90,99999,connector,0,"LINESTRING (-111.8885089 33.4075867, -111.88681356806566 33.41709433318095)",,1,0,0,0.15,4,1,0.66,55.0,55.0,0.71,,,,
119,5,1227,1,322.26,1,90,99999,connector,0,"LINESTRING (-111.93265996939043 33.4182893069808, -111.9349556 33.4161131)",,1,0,0,0.15,4,1,0.2,55.0,55.0,0.21,,,,
120,1227,5,1,322.26,1,90,99999,connector,0,"LINESTRING (-111.9349556 33.4161131, -111.93265996939043 33.4182893069808)",,1,0,0,0.15,4,1,0.2,55.0,55.0,0.21,,,,
121,15,1244,1,1117.59,1,90,99999,connector,0,"LINESTRING (-111.90234525424631 33.371047113918, -111.894004 33.3637981)",,1,0,0,0.15,4,1,0.69,55.0,55.0,0.75,,,,
122,1244,15,1,1117.59,1,90,99999,connector,0,"LINESTRING (-111.894004 33.3637981, -111.90234525424631 33.371047113918)",,1,0,0,0.15,4,1,0.69,55.0,55.0,0.75,,,,
123,1,1284,1,1117.24,1,90,99999,connector,0,"LINESTRING (-111.95857402769855 33.32929064666485, -111.963016 33.3199329)",,1,0,0,0.15,4,1,0.69,55.0,55.0,0.74,,,,
124,1284,1,1,1117.24,1,90,99999,connector,0,"LINESTRING (-111.963016 33.3199329, -111.95857402769855 33.32929064666485)",,1,0,0,0.15,4,1,0.69,55.0,55.0,0.74,,,,
125,1,1286,1,1122.44,1,90,99999,connector,0,"LINESTRING (-111.95857402769855 33.32929064666485, -111.963158 33.3199306)",,1,0,0,0.15,4,1,0.7,55.0,55.0,0.75,,,,
126,1286,1,1,1122.44,1,90,99999,connector,0,"LINESTRING (-111.963158 33.3199306, -111.95857402769855 33.32929064666485)",,1,0,0,0.15,4,1,0.7,55.0,55.0,0.75,,,,
127,39,1289,1,1241.03,1,90,99999,connector,0,"LINESTRING (-111.9525185541581 33.4292177099346, -111.961825 33.4372374)",,1,0,0,0.15,4,1,0.77,55.0,55.0,0.83,,,,
128,1289,39,1,1241.03,1,90,99999,connector,0,"LINESTRING (-111.961825 33.4372374, -111.9525185541581 33.4292177099346)",,1,0,0,0.15,4,1,0.77,55.0,55.0,0.83,,,,
129,38,1297,1,1852.34,1,90,99999,connector,0,"LINESTRING (-111.94240830800949 33.442680959325, -111.9620771 33.445332)",,1,0,0,0.15,4,1,1.15,55.0,55.0,1.23,,,,
130,1297,38,1,1852.34,1,90,99999,connector,0,"LINESTRING (-111.9620771 33.445332, -111.94240830800949 33.442680959325)",,1,0,0,0.15,4,1,1.15,55.0,55.0,1.23,,,,
131,38,1298,1,2022.1,1,90,99999,connector,0,"LINESTRING (-111.94240830800949 33.442680959325, -111.9638472 33.4457402)",,1,0,0,0.15,4,1,1.26,55.0,55.0,1.35,,,,
132,1298,38,1,2022.1,1,90,99999,connector,0,"LINESTRING (-111.9638472 33.4457402, -111.94240830800949 33.442680959325)",,1,0,0,0.15,4,1,1.26,55.0,55.0,1.35,,,,
133,2,1528,1,1069.8,1,90,99999,connector,0,"LINESTRING (-111.92234488535459 33.32935351748038, -111.9111722 33.3271018)",,1,0,0,0.15,4,1,0.66,55.0,55.0,0.71,,,,
134,1528,2,1,1069.8,1,90,99999,connector,0,"LINESTRING (-111.9111722 33.3271018, -111.92234488535459 33.32935351748038)",,1,0,0,0.15,4,1,0.66,55.0,55.0,0.71,,,,
135,21,1542,1,1142.99,1,90,99999,connector,0,"LINESTRING (-111.90239318761725 33.34195030578041, -111.8933018 33.3350242)",,1,0,0,0.15,4,1,0.71,55.0,55.0,0.76,,,,
