link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,from_biway
1836,,877884521,1203,1215,1,"LINESTRING (-111.9261615 33.4358001, -111.9262543 33.4360798)",1,32.27,motorway,1,120,2,4600,drive,0,0.15,4,1,0.02,75.0,75.0,0.02,,,,,,,
1837,North Scottsdale Road,1327144953,1203,2116,1,"LINESTRING (-111.9261615 33.4358001, -111.9261609 33.4358582)",1,6.46,primary,3,56,3,5400,drive,0,0.15,4,1,0.0,35.0,35.0,0.01,,,,,,,
1838,North Scottsdale Road,408592761,1204,1205,1,"LINESTRING (-111.9263568 33.4347462, -111.9263565 33.4346493, -111.9263557 33.4344214, -111.9263573 33.4343667)",1,42.2,primary,3,56,5,9000,drive,0,0.15,4,1,0.03,35.0,35.0,0.05,,,,,,,
1839,North Scottsdale Road,974560951,1205,424,1,"LINESTRING (-111.9263573 33.4343667, -111.9263564 33.434258, -111.926356 33.4341693, -111.926305 33.4341058, -111.926255 33.4340423)",1,38.9,primary,3,56,6,10800,drive,0,0.15,4,1,0.02,35.0,35.0,0.04,,,,,,,
1840,North Scottsdale Road,408813155,1206,1204,1,"LINESTRING (-111.9263557 33.4353727, -111.9263557 33.4351102, -111.9263554 33.4349488, -111.9263568 33.4347462)",1,69.66,primary,3,56,3,5400,drive,0,0.15,4,1,0.04,35.0,35.0,0.07,,,,,,,
1841,North Scottsdale Road,993871320,1207,1217,1,"LINESTRING (-111.9261721 33.4370921, -111.9261721 33.4371623)",1,7.81,primary,3,64,3,5400,drive,0,0.15,4,1,0.0,40.0,40.0,0.01,,,,,,,
1842,,408813177,1208,1210,1,"LINESTRING (-111.9262326 33.4361251, -111.92616 33.4359786)",1,17.63,motorway,1,120,2,4600,drive,0,0.15,4,1,0.01,75.0,75.0,0.01,,,,,,,
1843,,408813176,1208,1215,1,"LINESTRING (-111.9262326 33.4361251, -111.9262543 33.4360798)",1,5.42,motorway,1,120,2,4600,drive,0,0.15,4,1,0.0,75.0,75.0,0.0,,,,,,,
1844,North Scottsdale Road,993871320,1209,1207,1,"LINESTRING (-111.9261502 33.4363625, -111.9261721 33.4370921)",1,81.15,primary,3,64,3,5400,drive,0,0.15,4,1,0.05,40.0,40.0,0.08,,,,,,,
1845,,408813151,1210,260,1,"LINESTRING (-111.92616 33.4359786, -111.9260698 33.4358375, -111.9260078 33.4357743, -111.9259515 33.4357206, -111.9258846 33.4356746, -111.9258177 33.4356326, -111.9257058 33.4355904, -111.925644 33.4355722, -111.9255578 33.4355549, -111.9254355 33.4355481, -111.9253116 33.435556)",1,99.22,motorway,1,120,2,4600,drive,0,0.15,4,1,0.06,75.0,75.0,0.05,,,,,,,
1846,North Scottsdale Road,408813150,1210,265,1,"LINESTRING (-111.92616 33.4359786, -111.9261553 33.4362325)",1,28.24,primary,3,80,3,5400,drive,0,0.15,4,1,0.02,50.0,50.0,0.02,,,,,,,
1847,North Scottsdale Road,408813155,1211,1206,1,"LINESTRING (-111.926352 33.4358591, -111.9263519 33.4357301, -111.9263557 33.4353727)",1,54.09,primary,3,56,3,5400,drive,0,0.15,4,1,0.03,35.0,35.0,0.06,,,,,,,
1848,,408813178,1212,1213,1,"LINESTRING (-111.9262829 33.436123, -111.9263517 33.4362445)",1,14.94,motorway,1,120,2,4600,drive,0,0.15,4,1,0.01,75.0,75.0,0.01,,,,,,,
1849,,408813179,1212,1214,1,"LINESTRING (-111.9262829 33.436123, -111.9262542 33.4361705)",1,5.92,motorway,1,120,2,4600,drive,0,0.15,4,1,0.0,75.0,75.0,0.0,,,,,,,
1850,North Scottsdale Road,408813167,1213,257,1,"LINESTRING (-111.9263517 33.4362445, -111.9263519 33.4360228)",1,24.65,primary,3,80,6,10800,drive,0,0.15,4,1,0.02,50.0,50.0,0.02,,,,,,,
1851,,408813164,1213,710,1,"LINESTRING (-111.9263517 33.4362445, -111.9264302 33.43634, -111.9265119 33.4363903, -111.926613 33.4364373, -111.9267352 33.4364739, -111.9268329 33.4364836, -111.9269553 33.4364825)",1,65.57,motorway,1,120,2,4600,drive,0,0.15,4,1,0.04,75.0,75.0,0.03,,,,,,,
1852,,408813172,1214,1208,1,"LINESTRING (-111.9262542 33.4361705, -111.9262326 33.4361251)",1,5.43,motorway,1,120,2,4600,drive,0,0.15,4,1,0.0,75.0,75.0,0.0,,,,,,,
1853,,408813173,1214,1209,1,"LINESTRING (-111.9262542 33.4361705, -111.9261502 33.4363625)",1,23.43,motorway,1,120,2,4600,drive,0,0.15,4,1,0.01,75.0,75.0,0.01,,,,,,,
1854,,408813174,1215,1211,1,"LINESTRING (-111.9262543 33.4360798, -111.926284 33.4360178, -111.926352 33.4358591)",1,26.17,motorway,1,120,2,4600,drive,0,0.15,4,1,0.02,75.0,75.0,0.01,,,,,,,
1855,,408813175,1215,1212,1,"LINESTRING (-111.9262543 33.4360798, -111.9262829 33.436123)",1,5.49,motorway,1,120,2,4600,drive,0,0.15,4,1,0.0,75.0,75.0,0.0,,,,,,,
1856,North Scottsdale Road,1014550034,1216,814,1,"LINESTRING (-111.9263708 33.4381489, -111.9263625 33.4380053, -111.9263608 33.4378703, -111.9263537 33.4375533)",1,66.25,primary,3,80,3,5400,drive,0,0.15,4,1,0.04,50.0,50.0,0.05,,,,,,,
1857,,408813180,1216,1200,1,"LINESTRING (-111.9263708 33.4381489, -111.9263218 33.4380189, -111.9263116 33.4379588, -111.9262844 33.4378116, -111.9262785 33.437692, -111.9262775 33.4376326, -111.9262746 33.4376062, -111.9262607 33.437579, -111.92624 33.4375641, -111.9262103 33.4375559, -111.9261931 33.4375578)",1,71.67,primary,3,80,1,1800,drive,0,0.15,4,1,0.04,50.0,50.0,0.05,,,,,,,
